file,label
D:\major project\dataset\face only\FF_Face_only_data\841_639.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\842.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\842_714.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\843.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\843_859.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\844.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\844_797.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\845.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\845_846.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\846.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\846_845.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\847.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\847_906.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\848.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\848_894.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\849_771.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\850.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\850_764.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\851.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\851_552.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\852.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\852_834.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\853.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\853_863.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\854.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\854_747.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\855.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\855_801.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\856.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\856_881.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\857.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\857_909.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\858.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\858_861.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\859.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\859_843.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\860.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\860_905.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\861.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\861_858.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\862.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\862_047.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\863.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\863_853.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\864.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\864_839.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\865.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\865_739.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\866.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\866_878.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\867.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\867_765.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\868.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\868_949.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\869.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\869_780.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\870.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\870_001.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\871.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\871_814.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\872.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\872_873.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\873.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\873_872.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\874.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\874_291.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\875.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\875_979.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\876.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\876_891.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\877.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\877_886.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\878.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\878_866.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\879.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\879_963.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\880.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\880_135.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\881.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\881_856.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\882.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\882_952.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\883.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\883_013.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\884.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\884_968.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\885.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\885_802.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\886.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\886_877.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\887.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\887_275.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\888.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\888_937.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\889.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\889_045.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\890.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\890_837.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\891.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\891_876.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\892.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\892_112.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\893.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\893_913.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\894.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\894_848.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\895.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\895_915.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\896.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\896_128.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\897.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\897_969.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\898.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\898_922.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\899.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\899_914.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\900.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\900_926.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\901.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\901_902.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\902.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\902_901.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\903.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\903_792.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\904.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\904_046.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\905.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\905_860.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\906.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\906_847.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\907.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\907_795.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\908.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\908_207.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\909.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\909_857.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\910.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\910_911.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\911.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\911_910.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\912.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\912_927.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\913.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\913_893.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\914.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\914_899.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\915.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\915_895.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\916.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\916_783.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\917.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\917_924.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\918.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\918_934.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\919.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\919_015.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\920.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\920_811.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\921.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\921_569.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\922.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\922_898.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\923.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\923_023.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\924.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\924_917.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\925.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\925_933.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\926.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\926_900.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\927.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\927_912.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\928.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\928_160.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\929.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\929_962.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\930.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\930_763.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\931.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\931_936.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\932.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\932_384.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\933.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\933_925.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\934.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\934_918.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\935.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\935_733.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\936.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\936_931.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\937.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\937_888.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\938.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\938_987.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\939.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\939_115.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\940.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\940_941.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\941.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\941_940.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\942.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\942_943.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\943.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\943_942.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\944.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\944_032.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\945.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\945_044.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\946.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\946_049.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\947.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\947_951.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\948.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\948_965.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\949.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\949_868.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\950.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\950_836.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\951.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\951_947.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\952.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\952_882.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\953.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\953_974.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\954.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\954_976.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\955.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\955_078.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\956.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\956_958.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\957.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\957_959.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\958.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\958_956.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\959.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\959_957.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\960.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\960_999.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\961.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\961_069.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\962.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\962_929.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\963.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\963_879.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\964.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\964_174.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\965_948.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\966.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\966_988.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\967.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\967_984.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\968.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\968_884.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\969.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\969_897.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\970.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\970_973.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\971.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\971_564.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\972.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\972_718.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\973.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\973_970.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\974.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\974_953.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\975.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\975_978.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\976.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\976_954.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\977.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\977_075.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\978.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\978_975.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\979.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\979_875.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\980.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\980_992.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\981.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\981_985.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\982.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\982_004.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\983.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\983_113.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\984.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\984_967.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\985.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\985_981.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\986.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\986_994.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\987.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\987_938.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\988.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\988_966.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\989.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\989_993.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\990.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\990_008.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\991.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\991_064.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\992.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\992_980.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\993.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\993_989.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\994.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\994_986.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\995.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\995_233.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\996.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\996_056.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\997.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\997_040.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\998.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\998_561.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\999.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\999_960.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\bcbqxhziqz.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\atrmrdhzrk.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\rmhsahyvta.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\bvekwhumry.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\bnuwxhfahw.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\bdpwzkrofr.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\mkzaekkvej.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\byrzacjmjl.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\ptkcmwnfjv.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\opsgvfjlgh.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\assnxglavo.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\cloymwmsgb.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\zwswwwrefl.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\hbufmvbium.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\anmzhupzpa.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\aelsfznuqw.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\fyyyoslpgo.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\oznyyhvzxk.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\cgkorxrqlv.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\xjzmkuxskq.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\jpvkoxrueh.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\avlmlshqjh.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\cgzehrnpvv.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\wapflpdhyi.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\vizerpsvbz.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\cqxxumarvp.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\bpcimjvhlu.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\bcunmpqmwf.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\cnvpcernca.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\cdxwmzxudd.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\iyrafvzjnf.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\jgdrcvviil.mp4,REAL
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\cnbxddelwb.mp4,FAKE
D:\major project\dataset\face only\DFDC_FAKE_Face_only_data\bwkddsdoqj.mp4,FAKE
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\dvtpwatuja.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\nswtvttxre.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\dzrrklwrgn.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\ocnqcaojtf.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\junllgghcq.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\ouaowjmigq.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\cosghhimnd.mp4,REAL
D:\major project\dataset\face only\DFDC_REAL_Face_only_data\zlxfqidduw.mp4,REAL
